train,test,lambda,training_mse,test_mse
2016a.csv,2016b.csv,0.520000,0.000013,0.000017
2017a.csv,2017b.csv,0.520000,0.000013,0.000015
2018a.csv,2018b.csv,0.520000,0.081072,0.100816
2019a.csv,2019b.csv,0.520000,0.078384,0.106413
2020a.csv,2020b.csv,0.520000,0.000172,0.000170
2015a.csv,2015b.csv,0.530000,0.001991,0.002596
2016a.csv,2016b.csv,0.530000,0.000013,0.000018
2017a.csv,2017b.csv,0.530000,0.000013,0.000015
2018a.csv,2018b.csv,0.530000,0.082313,0.102241
2019a.csv,2019b.csv,0.530000,0.079560,0.107722
2020a.csv,2020b.csv,0.530000,0.000177,0.000174
2015a.csv,2015b.csv,0.540000,0.002045,0.002666
2016a.csv,2016b.csv,0.540000,0.000013,0.000018
2017a.csv,2017b.csv,0.540000,0.000014,0.000015
2018a.csv,2018b.csv,0.540000,0.083545,0.103652
2019a.csv,2019b.csv,0.540000,0.080728,0.109018
2020a.csv,2020b.csv,0.540000,0.000181,0.000178
2015a.csv,2015b.csv,0.550000,0.002098,0.002735
2016a.csv,2016b.csv,0.550000,0.000014,0.000019
2017a.csv,2017b.csv,0.550000,0.000014,0.000016
2018a.csv,2018b.csv,0.550000,0.084768,0.105052
2019a.csv,2019b.csv,0.550000,0.081887,0.110302
2020a.csv,2020b.csv,0.550000,0.000185,0.000182
2015a.csv,2015b.csv,0.560000,0.002152,0.002806
2016a.csv,2016b.csv,0.560000,0.000014,0.000019
2017a.csv,2017b.csv,0.560000,0.000014,0.000016
2018a.csv,2018b.csv,0.560000,0.085977,0.106433
2019a.csv,2019b.csv,0.560000,0.083036,0.111574
2020a.csv,2020b.csv,0.560000,0.000190,0.000185
2015a.csv,2015b.csv,0.570000,0.002207,0.002876
2016a.csv,2016b.csv,0.570000,0.000015,0.000020
2017a.csv,2017b.csv,0.570000,0.000015,0.000017
2018a.csv,2018b.csv,0.570000,0.087178,0.107802
2019a.csv,2019b.csv,0.570000,0.084178,0.112834
2020a.csv,2020b.csv,0.570000,0.000194,0.000189
2015a.csv,2015b.csv,0.580000,0.002262,0.002947
2016a.csv,2016b.csv,0.580000,0.000015,0.000020
2017a.csv,2017b.csv,0.580000,0.000015,0.000017
2018a.csv,2018b.csv,0.580000,0.088370,0.109159
2019a.csv,2019b.csv,0.580000,0.085311,0.114084
2020a.csv,2020b.csv,0.580000,0.000198,0.000193
2015a.csv,2015b.csv,0.590000,0.002317,0.003019
2016a.csv,2016b.csv,0.590000,0.000015,0.000021
2017a.csv,2017b.csv,0.590000,0.000016,0.000017
2018a.csv,2018b.csv,0.590000,0.089551,0.110501
2019a.csv,2019b.csv,0.590000,0.086436,0.115320
2020a.csv,2020b.csv,0.590000,0.000202,0.000196
2015a.csv,2015b.csv,0.600000,0.002372,0.003090
2016a.csv,2016b.csv,0.600000,0.000016,0.000021
2017a.csv,2017b.csv,0.600000,0.000016,0.000018
2018a.csv,2018b.csv,0.600000,0.090721,0.111830
2019a.csv,2019b.csv,0.600000,0.087552,0.116547
2020a.csv,2020b.csv,0.600000,0.000207,0.000200
2015a.csv,2015b.csv,0.610000,0.002428,0.003163
2016a.csv,2016b.csv,0.610000,0.000016,0.000022
2017a.csv,2017b.csv,0.610000,0.000016,0.000018
2018a.csv,2018b.csv,0.610000,0.091882,0.113146
2019a.csv,2019b.csv,0.610000,0.088659,0.117760
2020a.csv,2020b.csv,0.610000,0.000211,0.000204
2015a.csv,2015b.csv,0.620000,0.002484,0.003235
2016a.csv,2016b.csv,0.620000,0.000017,0.000023
2017a.csv,2017b.csv,0.620000,0.000017,0.000019
2018a.csv,2018b.csv,0.620000,0.093033,0.114449
2019a.csv,2019b.csv,0.620000,0.089760,0.118965
2020a.csv,2020b.csv,0.620000,0.000216,0.000208
2015a.csv,2015b.csv,0.630000,0.002541,0.003308
2016a.csv,2016b.csv,0.630000,0.000017,0.000023
2017a.csv,2017b.csv,0.630000,0.000017,0.000019
2018a.csv,2018b.csv,0.630000,0.094174,0.115738
2019a.csv,2019b.csv,0.630000,0.090849,0.120156
2020a.csv,2020b.csv,0.630000,0.000220,0.000211
2015a.csv,2015b.csv,0.640000,0.002597,0.003381
2016a.csv,2016b.csv,0.640000,0.000017,0.000024
2017a.csv,2017b.csv,0.640000,0.000018,0.000019
2018a.csv,2018b.csv,0.640000,0.095306,0.117015
2019a.csv,2019b.csv,0.640000,0.091931,0.121336
2020a.csv,2020b.csv,0.640000,0.000225,0.000215
2015a.csv,2015b.csv,0.650000,0.002654,0.003455
2016a.csv,2016b.csv,0.650000,0.000018,0.000024
2017a.csv,2017b.csv,0.650000,0.000018,0.000020
2018a.csv,2018b.csv,0.650000,0.096429,0.118282
2019a.csv,2019b.csv,0.650000,0.093008,0.122509
2020a.csv,2020b.csv,0.650000,0.000229,0.000218
2015a.csv,2015b.csv,0.660000,0.002712,0.003529
2016a.csv,2016b.csv,0.660000,0.000018,0.000025
2017a.csv,2017b.csv,0.660000,0.000018,0.000020
2018a.csv,2018b.csv,0.660000,0.097543,0.119536
2019a.csv,2019b.csv,0.660000,0.094074,0.123668
2020a.csv,2020b.csv,0.660000,0.000233,0.000222
2015a.csv,2015b.csv,0.670000,0.002769,0.003603
2016a.csv,2016b.csv,0.670000,0.000019,0.000025
2017a.csv,2017b.csv,0.670000,0.000019,0.000021
2018a.csv,2018b.csv,0.670000,0.098646,0.120777
2019a.csv,2019b.csv,0.670000,0.095132,0.124818
2020a.csv,2020b.csv,0.670000,0.000238,0.000226
2015a.csv,2015b.csv,0.680000,0.002827,0.003677
2016a.csv,2016b.csv,0.680000,0.000019,0.000026
2017a.csv,2017b.csv,0.680000,0.000019,0.000021
2018a.csv,2018b.csv,0.680000,0.099740,0.122006
2019a.csv,2019b.csv,0.680000,0.096182,0.125956
2020a.csv,2020b.csv,0.680000,0.000243,0.000230
2015a.csv,2015b.csv,0.690000,0.002885,0.003752
2016a.csv,2016b.csv,0.690000,0.000019,0.000026
2017a.csv,2017b.csv,0.690000,0.000020,0.000022
2018a.csv,2018b.csv,0.690000,0.100824,0.123223
2019a.csv,2019b.csv,0.690000,0.097225,0.127085
2020a.csv,2020b.csv,0.690000,0.000247,0.000233
2015a.csv,2015b.csv,0.700000,0.002944,0.003827
2016a.csv,2016b.csv,0.700000,0.000020,0.000027
2017a.csv,2017b.csv,0.700000,0.000020,0.000022
2018a.csv,2018b.csv,0.700000,0.101899,0.124427
2019a.csv,2019b.csv,0.700000,0.098259,0.128204
2020a.csv,2020b.csv,0.700000,0.000251,0.000237
2015a.csv,2015b.csv,0.710000,0.003003,0.003903
2016a.csv,2016b.csv,0.710000,0.000020,0.000027
2017a.csv,2017b.csv,0.710000,0.000021,0.000022
2018a.csv,2018b.csv,0.710000,0.102966,0.125622
2019a.csv,2019b.csv,0.710000,0.099285,0.129312
2020a.csv,2020b.csv,0.710000,0.000256,0.000241
2015a.csv,2015b.csv,0.720000,0.003062,0.003979
2016a.csv,2016b.csv,0.720000,0.000021,0.000028
2017a.csv,2017b.csv,0.720000,0.000021,0.000023
2018a.csv,2018b.csv,0.720000,0.104025,0.126807
2019a.csv,2019b.csv,0.720000,0.100306,0.130412
2020a.csv,2020b.csv,0.720000,0.000261,0.000245
2015a.csv,2015b.csv,0.730000,0.003121,0.004054
2016a.csv,2016b.csv,0.730000,0.000021,0.000029
2017a.csv,2017b.csv,0.730000,0.000021,0.000023
2018a.csv,2018b.csv,0.730000,0.105073,0.127979
2019a.csv,2019b.csv,0.730000,0.101317,0.131501
2020a.csv,2020b.csv,0.730000,0.000265,0.000248
2015a.csv,2015b.csv,0.740000,0.003180,0.004131
2016a.csv,2016b.csv,0.740000,0.000022,0.000029
2017a.csv,2017b.csv,0.740000,0.000022,0.000024
2018a.csv,2018b.csv,0.740000,0.106113,0.129140
2019a.csv,2019b.csv,0.740000,0.102321,0.132581
2020a.csv,2020b.csv,0.740000,0.000270,0.000252
2015a.csv,2015b.csv,0.750000,0.003240,0.004207
2016a.csv,2016b.csv,0.750000,0.000022,0.000030
2017a.csv,2017b.csv,0.750000,0.000022,0.000024
2018a.csv,2018b.csv,0.750000,0.107145,0.130292
2019a.csv,2019b.csv,0.750000,0.103318,0.133652
2020a.csv,2020b.csv,0.750000,0.000274,0.000256
